,설치년도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),충전기ID,충전소ID,위도,경도,법정동코드,법정동명,중심위도,중심경도,충전소중심지거리(급속),인근충전소위도(급속),인근충전소경도(급속),인근충전소거리(급속)
1694,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,22,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
1695,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,23,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
1696,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,24,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
1697,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,25,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
1698,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,26,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
1699,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,27,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
1700,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,28,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
1701,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,29,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
1702,2022,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),급속,DC콤보,30,PI200982,37.513871074,127.10636439,11710102,신천동,37.5239235994725,127.09897863081738,1292.7121853222247,37.651664697,127.04335887,16296.83028175565
1703,2022,도봉구,서울특별시 도봉구 노해로 313,서울시 도봉구 북부교육지원청,공공시설,지자체시설,급속,DC콤보,3,PI200984,37.651664697,127.04335887,11320107,창동,37.647745491815094,127.04406470622502,439.42916674415784,37.5023936,127.0058606,16923.947407129217
