자치구,행정동,CNG,LNG,경유,기타연료,수소,엘피지,전기,하이브리드,휘발유,합계,시군구명_x,행정동코드,읍면동명_x,생성일자_x,말소일자_x,시군구명_y,읍면동명_y,법정동코드,동리명,생성일자_y,말소일자_y
도봉구,창5동,0,0,2221,10,3,585,84,506,4267,7676,도봉구,1132051500,창제5동,19910907,,도봉구,창제5동,1132010700,창동,19910907,
동대문구,답십리1동,10,0,3080,21,4,740,208,758,5030,9851,동대문구,1123060000,답십리제1동,19880423,,동대문구,답십리제1동,1123010400,전농동,20141030,20150713
동대문구,답십리2동,1,0,2870,12,4,689,128,586,4512,8802,동대문구,1123061000,답십리제2동,19880423,,동대문구,답십리제2동,1123010500,답십리동,20090504,
동대문구,용신동,10,0,4497,28,5,661,242,795,6084,12322,동대문구,1123053600,용신동,20090504,,동대문구,용신동,1123010100,신설동,20090504,
동대문구,이문1동,0,0,1305,9,3,303,58,228,2036,3942,동대문구,1123074000,이문제1동,19880423,,동대문구,이문제1동,1123011000,이문동,20090504,
동대문구,이문2동,0,0,1695,12,4,413,60,343,2878,5405,동대문구,1123075000,이문제2동,19880423,,동대문구,이문제2동,1123011000,이문동,20090504,
동대문구,장안1동,0,0,4721,37,8,1180,181,796,6368,13291,동대문구,1123065000,장안제1동,19880423,,동대문구,장안제1동,1123010600,장안동,20090504,
동대문구,장안2동,2,0,3829,42,4,820,145,654,5325,10821,동대문구,1123066000,장안제2동,19880423,,동대문구,장안제2동,1123010600,장안동,20090504,
동대문구,전농1동,0,0,2993,25,4,602,165,647,4695,9131,동대문구,1123056000,전농제1동,19880423,,동대문구,전농제1동,1123010400,전농동,20090504,
동대문구,전농2동,1,0,1738,7,11,425,77,363,2840,5462,동대문구,1123057000,전농제2동,19880423,,동대문구,전농제2동,1123010400,전농동,20090504,
동대문구,제기동,0,0,2288,15,3,455,88,308,3024,6181,동대문구,1123054500,제기동,20090504,,동대문구,제기동,1123010300,제기동,20090504,
동대문구,청량리동,0,0,1665,9,5,485,71,270,2477,4982,동대문구,1123070500,청량리동,20080811,,동대문구,청량리동,1123010700,청량리동,20080811,
동대문구,회기동,0,0,614,6,3,143,29,135,1129,2059,동대문구,1123071000,회기동,19880423,,동대문구,회기동,1123010800,회기동,19880423,
